C_ANBMI
C_ANBMISRCL
C_ANBMICAT
C_ANBMI40
C_SEHHINCOME
C_SEEDLEVEL
C_SEEMPSTAT
C_SEOCCUPCLS
C_SERELSTAT
C_LBLENGTH
C_DMAGE
C_DMSEX
C_DMGENDER
C_DMGENIDOTH
C_DMRACE
